month,SUPPLIER,LICENSEE,PART,qty,month_amt,ytd_amt
2023-03,nippon-metal,ninja-roofing,glass-clip,109,128600,128600
2023-03,nippon-metal,ninja-roofing,glass-decoration,114,86100,86100
2023-03,nippon-metal,ninja-roofing,gold-clip,156,89500,89500
2023-03,nippon-metal,ninja-roofing,gold-decoration,165,64400,64400
2023-03,nippon-metal,ninja-roofing,roof-polish,57,11100,11100
2023-03,nippon-metal,ninja-roofing,tin-clip,176,16000,16000
2023-03,nippon-metal,ninja-roofing,tin-decoration,44,3800,3800
2023-03,nippon-metal,rice-roofers,glass-clip,158,186200,186200
2023-03,nippon-metal,rice-roofers,gold-clip,78,35300,35300
2023-03,nippon-metal,rice-roofers,gold-decoration,119,57800,57800
2023-03,nippon-metal,rice-roofers,tin-clip,167,21700,21700
2023-03,nippon-metal,rice-roofers,tin-decoration,95,8900,8900
2023-03,us-steel,global-roof,glass-clip,180,199500,199500
2023-03,us-steel,global-roof,glass-decoration,161,136000,136000
2023-03,us-steel,global-roof,gold-decoration,50,24000,24000
2023-03,us-steel,global-roof,roof-polish,80,18400,18400
2023-03,us-steel,global-roof,tin-clip,119,15200,15200
2023-03,us-steel,global-roof,tin-decoration,210,24400,24400
2023-03,us-steel,ranger-roofing,gold-clip,104,63800,63800
2023-03,us-steel,ranger-roofing,gold-decoration,43,16300,16300
2023-03,us-steel,ranger-roofing,roof-polish,236,56000,56000
2023-03,us-steel,ranger-roofing,tin-clip,160,15600,15600
2023-04,nippon-metal,ninja-roofing,glass-decoration,141,137100,223200
2023-04,nippon-metal,ninja-roofing,gold-clip,202,108400,197900
2023-04,nippon-metal,ninja-roofing,tin-clip,43,4200,20200
2023-04,nippon-metal,ninja-roofing,tin-decoration,110,11200,15000
2023-04,us-steel,global-roof,glass-clip,227,246800,446300
2023-04,us-steel,global-roof,gold-clip,175,84200,84200
2023-04,us-steel,global-roof,roof-polish,181,34900,53300
2023-04,us-steel,global-roof,tin-decoration,193,22000,46400
2023-04,us-steel,ranger-roofing,glass-clip,45,52900,52900
2023-04,us-steel,ranger-roofing,glass-decoration,131,124700,124700
2023-04,us-steel,ranger-roofing,gold-clip,104,65500,129300
2023-04,us-steel,ranger-roofing,gold-decoration,164,77600,93900
2023-04,us-steel,ranger-roofing,roof-polish,183,37300,93300
2023-04,us-steel,zztop-roof,glass-clip,198,205000,205000
2023-04,us-steel,zztop-roof,glass-decoration,167,125100,125100
2023-04,us-steel,zztop-roof,gold-clip,55,28700,28700
2023-04,us-steel,zztop-roof,gold-decoration,242,91300,91300
2023-04,us-steel,zztop-roof,tin-clip,79,9300,9300
2023-04,us-steel,zztop-roof,tin-decoration,234,24200,24200
2023-05,nippon-metal,ninja-roofing,glass-clip,101,103900,232500
2023-05,nippon-metal,ninja-roofing,gold-clip,177,108600,306500
2023-05,nippon-metal,ninja-roofing,gold-decoration,44,20200,84600
2023-05,nippon-metal,ninja-roofing,roof-polish,56,13000,24100
2023-05,nippon-metal,ninja-roofing,tin-clip,133,16100,36300
2023-05,nippon-metal,rice-roofers,glass-clip,173,201300,387500
2023-05,nippon-metal,rice-roofers,glass-decoration,48,37700,37700
2023-05,nippon-metal,rice-roofers,gold-clip,73,35500,70800
2023-05,nippon-metal,rice-roofers,gold-decoration,164,64100,121900
2023-05,nippon-metal,rice-roofers,roof-polish,122,23000,23000
2023-05,nippon-metal,rice-roofers,tin-decoration,51,5700,14600
2023-05,us-steel,global-roof,glass-clip,210,224900,671200
2023-05,us-steel,global-roof,glass-decoration,203,183600,319600
2023-05,us-steel,global-roof,gold-clip,86,48200,132400
2023-05,us-steel,global-roof,gold-decoration,169,70000,94000
2023-05,us-steel,global-roof,roof-polish,66,12800,66100
2023-05,us-steel,global-roof,tin-clip,80,8900,24100
2023-05,us-steel,global-roof,tin-decoration,212,20700,67100
2023-05,us-steel,ranger-roofing,glass-decoration,117,87200,211900
2023-05,us-steel,ranger-roofing,gold-clip,64,30100,159400
2023-05,us-steel,ranger-roofing,gold-decoration,99,44100,138000
2023-05,us-steel,ranger-roofing,roof-polish,227,42100,135400
2023-05,us-steel,ranger-roofing,tin-clip,95,12200,27800
2023-05,us-steel,zztop-roof,glass-clip,93,108100,313100
2023-05,us-steel,zztop-roof,glass-decoration,195,185200,310300
2023-05,us-steel,zztop-roof,gold-clip,60,32600,61300
2023-05,us-steel,zztop-roof,gold-decoration,43,21900,113200
2023-05,us-steel,zztop-roof,tin-clip,203,18800,28100
2023-05,us-steel,zztop-roof,tin-decoration,182,19600,43800
2023-06,nippon-metal,global-roof,glass-clip,75,75400,75400
2023-06,nippon-metal,global-roof,glass-decoration,227,169000,169000
2023-06,nippon-metal,global-roof,gold-clip,123,74900,74900
2023-06,nippon-metal,global-roof,gold-decoration,185,93800,93800
2023-06,nippon-metal,global-roof,roof-polish,189,37800,37800
2023-06,nippon-metal,global-roof,tin-clip,63,7100,7100
2023-06,nippon-metal,global-roof,tin-decoration,105,11600,11600
