"DATE","SUPPLIER","LOCALE","LICENSEE","PO","PART_ID","QTY","AMT"
"2024-01-10","nippon-metal","osaka","ninja-roofing","PO24001","tin-clip","55","13750"
"2024-01-18","nippon-metal","tokyo","rice-roofers","PO24002","tin-decoration","40","16000"
"2024-01-25","us-steel","denver","ninja-roofing","PO24003","glass-clip","45","22500"
"2024-01-28","us-steel","starbase","global-roof","PO24004","glass-decoration","35","28000"
"2024-02-08","nippon-metal","osaka","global-roof","PO24005","roof-polish","60","9000"
"2024-02-15","nippon-metal","tokyo","zztop-roof","PO24006","tin-clip","50","12500"
"2024-02-20","us-steel","denver","rice-roofers","PO24007","glass-clip","70","35000"
"2024-02-25","us-steel","starbase","rice-roofers","PO24008","roof-polish","30","4500"
"2024-03-05","nippon-metal","osaka","ranger-roofing","PO24009","tin-decoration","65","26000"
"2024-03-12","nippon-metal","tokyo","ninja-roofing","PO24010","tin-clip","45","11250"
"2024-03-18","us-steel","denver","global-roof","PO24011","glass-decoration","50","40000"
"2024-03-22","us-steel","starbase","zztop-roof","PO24012","glass-clip","55","27500"
"2024-04-07","nippon-metal","osaka","global-roof","PO24013","roof-polish","40","6000"
"2024-04-14","nippon-metal","tokyo","rice-roofers","PO24014","tin-clip","70","17500"
"2024-04-20","us-steel","denver","ninja-roofing","PO24015","glass-decoration","60","48000"
"2024-05-05","nippon-metal","osaka","zztop-roof","PO24016","tin-decoration","50","20000"
"2024-05-12","nippon-metal","tokyo","ranger-roofing","PO24017","roof-polish","35","5250"
"2024-05-18","us-steel","denver","global-roof","PO24018","glass-clip","75","37500"
"2024-05-25","us-steel","starbase","ranger-roofing","PO24019","glass-decoration","45","36000"
"2024-06-08","nippon-metal","osaka","ninja-roofing","PO24020","tin-clip","60","15000"
"2024-06-15","us-steel","denver","rice-roofers","PO24021","roof-polish","40","6000"
"2024-06-22","us-steel","starbase","global-roof","PO24022","glass-clip","65","32500"
"2024-07-10","nippon-metal","tokyo","global-roof","PO24023","tin-decoration","55","22000"
"2024-07-17","nippon-metal","osaka","zztop-roof","PO24024","tin-clip","70","17500"
"2024-07-23","us-steel","denver","ninja-roofing","PO24025","glass-decoration","50","40000"
"2024-07-28","us-steel","starbase","ranger-roofing","PO24026","roof-polish","30","4500"
"2024-08-05","nippon-metal","osaka","rice-roofers","PO24027","roof-polish","45","6750"
"2024-08-12","us-steel","denver","global-roof","PO24028","glass-clip","80","40000"
"2024-08-20","us-steel","starbase","zztop-roof","PO24029","glass-decoration","55","44000"
"2024-09-08","nippon-metal","tokyo","ninja-roofing","PO24030","tin-clip","65","16250"
"2024-09-15","nippon-metal","osaka","ranger-roofing","PO24031","tin-decoration","40","16000"
"2024-09-22","us-steel","denver","rice-roofers","PO24032","roof-polish","35","5250"
"2024-09-28","us-steel","starbase","global-roof","PO24033","glass-clip","60","30000"
"2024-10-05","nippon-metal","osaka","global-roof","PO24034","roof-polish","50","7500"
"2024-10-12","us-steel","denver","zztop-roof","PO24035","glass-decoration","70","56000"
"2024-10-20","us-steel","starbase","ranger-roofing","PO24036","tin-clip","45","11250"
"2024-11-07","nippon-metal","tokyo","rice-roofers","PO24037","tin-decoration","55","22000"
"2024-11-14","nippon-metal","osaka","ninja-roofing","PO24038","tin-clip","60","15000"
"2024-11-21","us-steel","denver","global-roof","PO24039","glass-clip","75","37500"
"2024-12-08","nippon-metal","osaka","zztop-roof","PO24040","roof-polish","40","6000"
"2024-12-15","nippon-metal","tokyo","ranger-roofing","PO24041","tin-decoration","50","20000"
"2024-12-22","us-steel","denver","ninja-roofing","PO24042","glass-decoration","65","52000"
"2024-12-28","us-steel","starbase","rice-roofers","PO24043","glass-clip","55","27500"
"2025-01-10","nippon-metal","osaka","global-roof","PO25001","tin-clip","70","17500"
"2025-01-18","nippon-metal","tokyo","ninja-roofing","PO25002","roof-polish","45","6750"
"2025-01-25","us-steel","denver","zztop-roof","PO25003","glass-clip","80","40000"
"2025-01-28","us-steel","starbase","global-roof","PO25004","glass-decoration","50","40000"
"2025-02-05","nippon-metal","osaka","rice-roofers","PO25005","tin-decoration","60","24000"
"2025-02-12","us-steel","denver","ranger-roofing","PO25006","roof-polish","35","5250"
"2025-02-20","us-steel","starbase","ninja-roofing","PO25007","glass-clip","70","35000"
"2025-03-08","nippon-metal","tokyo","global-roof","PO25008","tin-clip","55","13750"
"2025-03-15","nippon-metal","osaka","zztop-roof","PO25009","tin-decoration","40","16000"
"2025-03-22","us-steel","denver","rice-roofers","PO25010","glass-decoration","65","52000"
"2025-03-28","us-steel","starbase","global-roof","PO25011","roof-polish","30","4500"
"2025-04-05","nippon-metal","osaka","ranger-roofing","PO25012","roof-polish","50","7500"
"2025-04-12","nippon-metal","tokyo","ninja-roofing","PO25013","tin-clip","75","18750"
"2025-04-20","us-steel","denver","global-roof","PO25014","glass-clip","60","30000"
"2025-05-08","nippon-metal","osaka","rice-roofers","PO25015","tin-decoration","45","18000"
"2025-05-15","us-steel","denver","zztop-roof","PO25016","glass-decoration","70","56000"
"2025-05-22","us-steel","starbase","ranger-roofing","PO25017","roof-polish","40","6000"
"2025-06-10","nippon-metal","tokyo","global-roof","PO25018","tin-clip","65","16250"
"2025-06-18","nippon-metal","osaka","ninja-roofing","PO25019","roof-polish","55","8250"
"2025-06-25","us-steel","denver","rice-roofers","PO25020","glass-clip","55","27500"
"2025-06-28","us-steel","starbase","global-roof","PO25021","glass-decoration","50","40000"
"2025-07-05","nippon-metal","osaka","zztop-roof","PO25022","tin-decoration","60","24000"
"2025-07-12","us-steel","denver","ranger-roofing","PO25023","roof-polish","35","5250"
"2025-07-20","us-steel","starbase","ninja-roofing","PO25024","glass-clip","75","37500"
"2025-08-08","nippon-metal","tokyo","rice-roofers","PO25025","tin-clip","70","17500"
"2025-08-15","nippon-metal","osaka","global-roof","PO25026","tin-decoration","50","20000"
"2025-08-22","us-steel","denver","zztop-roof","PO25027","glass-decoration","65","52000"
"2025-09-05","nippon-metal","osaka","ranger-roofing","PO25028","roof-polish","45","6750"
"2025-09-12","us-steel","denver","global-roof","PO25029","glass-clip","80","40000"
"2025-09-20","us-steel","starbase","ninja-roofing","PO25030","glass-decoration","55","44000"
"2025-10-08","nippon-metal","tokyo","rice-roofers","PO25031","tin-clip","60","15000"
"2025-10-15","nippon-metal","osaka","zztop-roof","PO25032","roof-polish","40","6000"
"2025-10-22","us-steel","denver","global-roof","PO25033","glass-clip","70","35000"
"2025-10-28","us-steel","starbase","ranger-roofing","PO25034","tin-decoration","50","20000"
"2025-11-05","nippon-metal","osaka","ninja-roofing","PO25035","tin-decoration","55","22000"
"2025-11-12","us-steel","denver","rice-roofers","PO25036","roof-polish","30","4500"
"2025-11-20","us-steel","starbase","global-roof","PO25037","glass-clip","65","32500"
"2025-12-08","nippon-metal","tokyo","zztop-roof","PO25038","tin-clip","75","18750"
"2025-12-15","nippon-metal","osaka","ranger-roofing","PO25039","tin-decoration","45","18000"
"2025-12-22","us-steel","denver","ninja-roofing","PO25040","glass-decoration","60","48000"
"2025-12-28","us-steel","starbase","global-roof","PO25041","roof-polish","35","5250"
